#	Parameters	MSE_real	SNR_real	PRD_real	MSE_imag	SNR_imag	PRD_imag
	 0.0000000+-0.0000000	 0.0100000	 0.4500000	 7.0000000	 0.0100000	 inf+-nan	 -inf+-nan
	 1.0000000+-0.0000000	 0.0030000	 0.2300000	 13.0000000	 0.0030000	 inf+-nan	 -inf+-nan
	 2.0000000+-0.0000000	 0.0010000	 0.1700000	 15.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 3.0000000+-0.0000000	 0.0010000	 0.1000000	 17.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 4.0000000+-0.0000000	 0.0010000	 0.1000000	 19.0000000	 0.0000000	 inf+-nan	 -inf+-nan
	 5.0000000+-0.0000000	 0.0030000	 0.2300000	 13.0000000	 0.0030000	 inf+-nan	 -inf+-nan
	 6.0000000+-0.0000000	 0.0010000	 0.1700000	 15.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 7.0000000+-0.0000000	 0.0010000	 0.1000000	 18.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 8.0000000+-0.0000000	 0.0010000	 0.1000000	 20.0000000	 0.0000000	 inf+-nan	 -inf+-nan
	 9.0000000+-0.0000000	 0.0030000	 0.2300000	 13.0000000	 0.0030000	 inf+-nan	 -inf+-nan
	 10.0000000+-0.0000000	 0.0010000	 0.1700000	 15.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 11.0000000+-0.0000000	 0.0010000	 0.1000000	 18.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 12.0000000+-0.0000000	 0.0000000	 0.1000000	 20.0000000	 0.0000000	 inf+-nan	 -inf+-nan
	 13.0000000+-0.0000000	 0.0030000	 0.2300000	 13.0000000	 0.0030000	 inf+-nan	 -inf+-nan
	 14.0000000+-0.0000000	 0.0010000	 0.1700000	 16.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 15.0000000+-0.0000000	 0.0010000	 0.1300000	 18.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 16.0000000+-0.0000000	 0.0005000	 0.1100000	 20.0000000	 0.0000000	 inf+-nan	 -inf+-nan
	 17.0000000+-0.0000000	 0.0030000	 0.2300000	 13.0000000	 0.0030000	 inf+-nan	 -inf+-nan
	 18.0000000+-0.0000000	 0.0010000	 0.1700000	 16.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 19.0000000+-0.0000000	 0.0010000	 0.1200000	 18.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 20.0000000+-0.0000000	 0.0004000	 0.1000000	 21.0000000	 0.0000000	 inf+-nan	 -inf+-nan
	 21.0000000+-0.0000000	 0.0030000	 0.2300000	 13.0000000	 0.0030000	 inf+-nan	 -inf+-nan
	 22.0000000+-0.0000000	 0.0010000	 0.1700000	 16.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 23.0000000+-0.0000000	 0.0010000	 0.1200000	 18.0000000	 0.0010000	 inf+-nan	 -inf+-nan
	 24.0000000+-0.0000000	 0.0003000	 0.1000000	 22.0000000	 0.0000000	 inf+-nan	 -inf+-nan
